StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,Distance(mi),AirportCode,Number,Street,Side,City,County,State,ZipCode
8/1/2016 0:31,8/1/2016 1:56,US/Pacific,38.230625,-122.616676,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 1:43,8/1/2016 1:53,US/Pacific,38.214657,-122.602669,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 1:43,8/1/2016 1:54,US/Pacific,37.799431,-122.445839,0,KSFO,3098,Baker St,R,San Francisco,San Francisco,CA,94123
8/1/2016 1:46,8/1/2016 1:58,US/Pacific,36.77858,-121.708244,0,KSNS,15263,Highway 156,L,Salinas,Monterey,CA,93907
8/1/2016 1:30,8/1/2016 1:58,US/Pacific,37.105087,-121.612419,0,KE16,,S Valley Fwy S,R,San Martin,Santa Clara,CA,95046
8/1/2016 1:40,8/1/2016 1:58,US/Pacific,38.352154,-121.472214,0,KSAC,,I-5 S,R,Elk Grove,Sacramento,CA,95757
8/1/2016 0:31,8/1/2016 2:06,US/Pacific,38.197445,-122.599106,0,KO69,5202,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 1:09,8/1/2016 2:05,US/Pacific,37.594242,-122.50589,0,KSFO,570,San Pedro Ave,R,Pacifica,San Mateo,CA,94044
8/1/2016 1:29,8/1/2016 2:04,US/Pacific,37.504059,-122.478485,0,KHAF,4217,Cabrillo Hwy N,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:49,8/1/2016 1:59,US/Pacific,37.498974,-122.465424,0,KHAF,3479,Cabrillo Hwy N,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:24,8/1/2016 2:04,US/Pacific,38.236858,-122.461845,0,KO69,22938,Arnold Dr,R,Sonoma,Sonoma,CA,95476
8/1/2016 1:51,8/1/2016 2:02,US/Pacific,37.487053,-122.395844,0,KHAF,11880,San Mateo Rd,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:49,8/1/2016 2:00,US/Pacific,37.603191,-122.381554,0,KSFO,,Bayshore Fwy S,R,Millbrae,San Mateo,CA,94030
8/1/2016 1:42,8/1/2016 2:06,US/Pacific,37.822395,-122.325035,0,KOAK,,I-80 W,R,Oakland,Alameda,CA,94607
8/1/2016 1:39,8/1/2016 2:01,US/Pacific,37.696278,-122.10524,0,KHWD,,I-580 E,R,San Leandro,Alameda,CA,94578
8/1/2016 1:51,8/1/2016 2:05,US/Pacific,36.816948,-121.785904,0,KWVI,,Jetty Rd,R,Moss Landing,Monterey,CA,95039
8/1/2016 1:53,8/1/2016 2:05,US/Pacific,36.80724,-121.783875,0,KWVI,3906,Highway 1,R,Moss Landing,Monterey,CA,95039
8/1/2016 1:55,8/1/2016 2:05,US/Pacific,36.79784,-121.783249,0,KWVI,7910,Highway 1,R,Moss Landing,Monterey,CA,95039
8/1/2016 1:49,8/1/2016 2:00,US/Pacific,36.767437,-121.745735,0,KSNS,,CA-156 E,R,Castroville,Monterey,CA,95012
8/1/2016 1:49,8/1/2016 2:03,US/Pacific,37.087769,-121.598579,0,KE16,,S Valley Fwy N,R,San Martin,Santa Clara,CA,95046
8/1/2016 2:00,8/1/2016 2:15,US/Pacific,38.247765,-122.629318,0,KO69,,US-101 N,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:04,8/1/2016 2:19,US/Pacific,38.212437,-122.601662,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:05,8/1/2016 2:18,US/Pacific,37.563526,-122.512703,0,KHAF,6364,Cabrillo Hwy,R,Moss Beach,San Mateo,CA,94038
8/1/2016 2:08,8/1/2016 2:19,US/Pacific,37.467953,-122.433418,0,KHAF,,Cabrillo Hwy S,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 2:06,8/1/2016 2:19,US/Pacific,37.467987,-122.432747,0,KHAF,12,San Mateo Rd,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:57,8/1/2016 2:17,US/Pacific,37.478966,-122.410393,0,KHAF,12360,San Mateo Rd,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:57,8/1/2016 2:18,US/Pacific,37.766579,-122.40535,0,KSFO,,Central Fwy,R,San Francisco,San Francisco,CA,94103
8/1/2016 2:02,8/1/2016 2:16,US/Pacific,37.766315,-122.405258,0,KSFO,,Central Fwy,R,San Francisco,San Francisco,CA,94103
8/1/2016 1:55,8/1/2016 2:17,US/Pacific,37.512028,-122.347427,0,KHAF,,Half Moon Bay Rd,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:59,8/1/2016 2:19,US/Pacific,37.736198,-122.152916,0,KOAK,435,Bancroft Ave,R,San Leandro,Alameda,CA,94577
8/1/2016 1:51,8/1/2016 2:18,US/Pacific,37.660915,-122.104385,0,KHWD,,Nimitz Fwy S,R,Hayward,Alameda,CA,94541
8/1/2016 1:59,8/1/2016 2:19,US/Pacific,37.133873,-121.98204,0,KSJC,22970,Santa Cruz Hwy,L,Los Gatos,Santa Cruz,CA,95033
8/1/2016 2:08,8/1/2016 2:19,US/Pacific,37.231018,-121.972374,0,KSJC,,CA-17 N,R,Los Gatos,Santa Clara,CA,95032
8/1/2016 1:59,8/1/2016 2:14,US/Pacific,38.461323,-121.838951,0,KEDU,,I-80 W,R,Dixon,Solano,CA,95620
8/1/2016 1:53,8/1/2016 2:19,US/Pacific,36.80724,-121.783875,0,KWVI,3906,Highway 1,R,Moss Landing,Monterey,CA,95039
8/1/2016 2:07,8/1/2016 2:18,US/Pacific,36.829369,-121.771736,0,KWVI,1962,Highway 1,L,Moss Landing,Monterey,CA,95039
8/1/2016 2:01,8/1/2016 2:18,US/Pacific,38.350204,-121.471809,0,KSAC,,I-5 S,R,Elk Grove,Sacramento,CA,95757
8/1/2016 2:18,8/1/2016 2:28,US/Pacific,38.151485,-122.447769,0,KO69,4006,Sears Point Rd,L,Sonoma,Sonoma,CA,95476
8/1/2016 2:10,8/1/2016 2:28,US/Pacific,37.798874,-122.44323,0,KSFO,2535,Lombard St,L,San Francisco,San Francisco,CA,94123
8/1/2016 2:16,8/1/2016 2:27,US/Pacific,37.781647,-122.420494,0,KSFO,636,Van Ness Ave,R,San Francisco,San Francisco,CA,94102
8/1/2016 0:50,8/1/2016 2:28,US/Pacific,38.15554,-122.414963,0,KO69,5623,Sears Point Rd,R,Sonoma,Sonoma,CA,95476
8/1/2016 2:15,8/1/2016 2:26,US/Pacific,37.568413,-122.311218,0,KSQL,,Bayshore Fwy N,R,San Mateo,San Mateo,CA,94402
8/1/2016 2:16,8/1/2016 2:27,US/Pacific,38.465782,-121.832909,0,KEDU,,I-80 E,R,Dixon,Solano,CA,95620
8/1/2016 2:12,8/1/2016 2:27,US/Pacific,36.802219,-121.657715,0,KSNS,2628,El Camino Real N,L,Salinas,Monterey,CA,93907
8/1/2016 2:12,8/1/2016 2:27,US/Pacific,36.802219,-121.657715,0,KSNS,2628,El Camino Real N,L,Salinas,Monterey,CA,93907
8/1/2016 2:14,8/1/2016 2:27,US/Pacific,36.827358,-121.628258,0,KSNS,2893,El Camino Real N,L,Salinas,Monterey,CA,93907
8/1/2016 2:11,8/1/2016 2:21,US/Pacific,36.859394,-121.595306,0,KCVH,,CA-156 W,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 1:38,8/1/2016 2:26,US/Pacific,37.005951,-121.510979,0,KE16,3000,Pacheco Pass Hwy,R,Gilroy,Santa Clara,CA,95020
8/1/2016 1:23,8/1/2016 2:28,US/Pacific,36.841736,-121.461464,0,KCVH,4020,San Juan Rd,L,Hollister,San Benito,CA,95023
8/1/2016 2:23,8/1/2016 2:35,US/Pacific,38.263836,-122.659348,0,KO69,,US-101 S,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:20,8/1/2016 2:36,US/Pacific,38.229389,-122.61602,0,KO69,,US-101 N,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:24,8/1/2016 2:34,US/Pacific,38.212437,-122.601662,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:17,8/1/2016 2:36,US/Pacific,37.558186,-122.514565,0,KHAF,6927,Cabrillo Hwy,L,Moss Beach,San Mateo,CA,94038
8/1/2016 2:18,8/1/2016 2:32,US/Pacific,37.932766,-122.409164,0,KCCR,,Richmond-San Rafael Brg,R,Richmond,Contra Costa,CA,94801
8/1/2016 2:22,8/1/2016 2:36,US/Pacific,38.152512,-122.390938,0,KAPC,,Sears Point Rd,R,Vallejo,Solano,CA,94592
8/1/2016 2:23,8/1/2016 2:33,US/Pacific,36.783604,-121.691025,0,KSNS,16398,Highway 156,L,Castroville,Monterey,CA,95012
